symbol,name,raw_name,market,sector,theme,enabled,resolved,note
TCS.NS,Tata Consultancy Services,Tata Consultancy Services,IN,Technology,AI,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
INFY.NS,Infosys,Infosys,IN,Technology,AI,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
HDFCBANK.NS,HDFC Bank,HDFC Bank,IN,Financial,Bank,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
ICICIBANK.NS,ICICI Bank,ICICI Bank,IN,Financial,Bank,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
SBIN.NS,State Bank of India,State Bank of India,IN,Financial,Bank,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
LT.NS,Larsen & Toubro,Larsen & Toubro,IN,Construction,Construction,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
TATAMOTORS.NS,Tata Motors,Tata Motors,IN,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
M&M.NS,Mahindra & Mahindra,Mahindra & Mahindra,IN,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
MARUTI.NS,Maruti Suzuki India,Maruti Suzuki India,IN,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
TATAELXSI.NS,Tata Elxsi,Tata Elxsi,IN,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
PERSISTENT.NS,Persistent Systems,Persistent Systems,IN,Technology,AI,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
DIXON.NS,Dixon Technologies,Dixon Technologies,IN,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
SUNPHARMA.NS,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries,IN,Healthcare,Healthcare,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
DRREDDY.NS,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories,IN,Healthcare,Biotech,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
CIPLA.NS,Cipla,Cipla,IN,Healthcare,Healthcare,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
DIVISLAB.NS,Divi's Laboratories,Divi's Laboratories,IN,Healthcare,Biotech,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
HAL.NS,Hindustan Aeronautics,Hindustan Aeronautics,IN,Aerospace,Aerospace,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
BEL.NS,Bharat Electronics,Bharat Electronics,IN,Defense,Defense,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
BDL.NS,Bharat Dynamics,Bharat Dynamics,IN,Defense,Defense,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
COCHINSHIP.NS,Cochin Shipyard,Cochin Shipyard,IN,Defense,Defense,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
MAZDOCK.NS,Mazagon Dock Shipbuilders,Mazagon Dock Shipbuilders,IN,Defense,Defense,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
ADANIGREEN.NS,Adani Green Energy,Adani Green Energy,IN,Renewable Energy,Renewable Energy,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
SUZLON.NS,Suzlon Energy,Suzlon Energy,IN,Renewable Energy,Renewable Energy,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
TATAPOWER.NS,Tata Power,Tata Power,IN,Renewable Energy,Renewable Energy,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
NTPC.NS,NTPC,NTPC,IN,Energy,Energy,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
ONGC.NS,Oil and Natural Gas Corporation,Oil and Natural Gas Corporation,IN,Energy,Energy,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
COALINDIA.NS,Coal India,Coal India,IN,Resources,Resources,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
HINDALCO.NS,Hindalco Industries,Hindalco Industries,IN,Metals & Mining,Copper,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
VEDL.NS,Vedanta,Vedanta,IN,Resources,Resources,false,unresolved,seed_candidate;country=India;verify_with_toss_stock_info_before_live;country_market=IN;research_only;current_toss_live_support=KR_US_only
FPT.VN,FPT Corporation,FPT Corporation,VN,Technology,AI,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VCB.VN,Vietcombank,Vietcombank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
BID.VN,BIDV,BIDV,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
CTG.VN,VietinBank,VietinBank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
TCB.VN,Techcombank,Techcombank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
MBB.VN,Military Commercial Joint Stock Bank,Military Commercial Joint Stock Bank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
ACB.VN,Asia Commercial Bank,Asia Commercial Bank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
STB.VN,Sacombank,Sacombank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VIB.VN,Vietnam International Bank,Vietnam International Bank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
TPB.VN,TPBank,TPBank,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
HPG.VN,Hoa Phat Group,Hoa Phat Group,VN,Resources,Resources,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VHM.VN,Vinhomes,Vinhomes,VN,Construction,Construction,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VIC.VN,Vingroup,Vingroup,VN,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VNM.VN,Vinamilk,Vinamilk,VN,Consumer,Consumer,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
GAS.VN,PV Gas,PV Gas,VN,Energy,Energy,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
PLX.VN,Petrolimex,Petrolimex,VN,Energy,Energy,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
POW.VN,PV Power,PV Power,VN,Energy,Energy,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
PVD.VN,Petrovietnam Drilling,Petrovietnam Drilling,VN,Energy,Energy,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
PVS.HN,PetroVietnam Technical Services,PetroVietnam Technical Services,VN,Energy,Energy,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
DGC.VN,Duc Giang Chemicals,Duc Giang Chemicals,VN,Resources,Resources,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
DPM.VN,PetroVietnam Fertilizer and Chemicals,PetroVietnam Fertilizer and Chemicals,VN,Resources,Resources,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
GVR.VN,Vietnam Rubber Group,Vietnam Rubber Group,VN,Resources,Resources,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
MSN.VN,Masan Group,Masan Group,VN,Resources,Resources,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VJC.VN,VietJet Aviation,VietJet Aviation,VN,Aerospace,Aerospace,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
HVN.VN,Vietnam Airlines,Vietnam Airlines,VN,Aerospace,Aerospace,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
SSI.VN,SSI Securities,SSI Securities,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
HCM.VN,Ho Chi Minh City Securities,Ho Chi Minh City Securities,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VND.VN,VNDirect Securities,VNDirect Securities,VN,Financial,Bank,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
MWG.VN,Mobile World Investment,Mobile World Investment,VN,Consumer,Consumer,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
VRE.VN,Vincom Retail,Vincom Retail,VN,Real Estate,Real Estate,false,unresolved,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live;country_market=VN;research_only;current_toss_live_support=KR_US_only
2330.TW,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2454.TW,MediaTek,MediaTek,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2317.TW,Hon Hai Precision Industry,Hon Hai Precision Industry,TW,Technology,AI,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2308.TW,Delta Electronics,Delta Electronics,TW,Environmental Services,Green,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2382.TW,Quanta Computer,Quanta Computer,TW,Technology,AI,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
3231.TW,Wistron,Wistron,TW,Technology,AI,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2357.TW,ASUSTeK Computer,ASUSTeK Computer,TW,Technology,AI,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2379.TW,Realtek Semiconductor,Realtek Semiconductor,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
3034.TW,Novatek Microelectronics,Novatek Microelectronics,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
3711.TW,ASE Technology Holding,ASE Technology Holding,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2303.TW,United Microelectronics,United Microelectronics,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2408.TW,Nanya Technology,Nanya Technology,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
6488.TWO,GlobalWafers,GlobalWafers,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
3008.TW,Largan Precision,Largan Precision,TW,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2327.TW,Yageo,Yageo,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2301.TW,Lite-On Technology,Lite-On Technology,TW,Environmental Services,Green,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2345.TW,Accton Technology,Accton Technology,TW,Technology,AI,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
3661.TW,Alchip Technologies,Alchip Technologies,TW,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2412.TW,Chunghwa Telecom,Chunghwa Telecom,TW,Telecommunication,Telecom,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2881.TW,Fubon Financial Holding,Fubon Financial Holding,TW,Financial,Bank,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2882.TW,Cathay Financial Holding,Cathay Financial Holding,TW,Financial,Bank,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2891.TW,CTBC Financial Holding,CTBC Financial Holding,TW,Financial,Bank,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2886.TW,Mega Financial Holding,Mega Financial Holding,TW,Financial,Bank,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
1301.TW,Formosa Plastics,Formosa Plastics,TW,Resources,Resources,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
1303.TW,Nan Ya Plastics,Nan Ya Plastics,TW,Resources,Resources,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
1326.TW,Formosa Chemicals & Fibre,Formosa Chemicals & Fibre,TW,Resources,Resources,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
6505.TW,Formosa Petrochemical,Formosa Petrochemical,TW,Energy,Energy,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2002.TW,China Steel,China Steel,TW,Resources,Resources,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
1101.TW,Taiwan Cement,Taiwan Cement,TW,Construction,Construction,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
2207.TW,Hotai Motor,Hotai Motor,TW,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live;country_market=TW;research_only;current_toss_live_support=KR_US_only
AIR.PA,Airbus,Airbus,FR,Aerospace,Aerospace,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
HO.PA,Thales,Thales,FR,Defense,Defense,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
SAF.PA,Safran,Safran,FR,Aerospace,Aerospace,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
SU.PA,Schneider Electric,Schneider Electric,FR,Environmental Services,Green,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
CAP.PA,Capgemini,Capgemini,FR,Technology,AI,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
DSY.PA,Dassault Systemes,Dassault Systemes,FR,Technology,AI,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
STMPA.PA,STMicroelectronics,STMicroelectronics,FR,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
SAN.PA,Sanofi,Sanofi,FR,Healthcare,Healthcare,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
OR.PA,L'Oreal,L'Oreal,FR,Healthcare,Healthcare,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
AI.PA,Air Liquide,Air Liquide,FR,Energy,Energy,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
TTE.PA,TotalEnergies,TotalEnergies,FR,Energy,Energy,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
ENGI.PA,Engie,Engie,FR,Renewable Energy,Renewable Energy,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
VIE.PA,Veolia Environnement,Veolia Environnement,FR,Environmental Services,Green,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
NEX.PA,Nexans,Nexans,FR,Metals & Mining,Copper,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
DG.PA,Vinci,Vinci,FR,Construction,Construction,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
EN.PA,Bouygues,Bouygues,FR,Construction,Construction,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
SGO.PA,Saint-Gobain,Saint-Gobain,FR,Construction,Construction,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
RNO.PA,Renault,Renault,FR,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
ML.PA,Michelin,Michelin,FR,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
BNP.PA,BNP Paribas,BNP Paribas,FR,Financial,Bank,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
ACA.PA,Credit Agricole,Credit Agricole,FR,Financial,Bank,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
GLE.PA,Societe Generale,Societe Generale,FR,Financial,Bank,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
CS.PA,AXA,AXA,FR,Insurance,Insurance,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
MC.PA,LVMH,LVMH,FR,Consumer,Consumer,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
RMS.PA,Hermes International,Hermes International,FR,Consumer,Consumer,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
BN.PA,Danone,Danone,FR,Consumer,Consumer,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
ORA.PA,Orange,Orange,FR,Telecommunication,Telecom,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
PUB.PA,Publicis Groupe,Publicis Groupe,FR,Technology,AI,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
RI.PA,Pernod Ricard,Pernod Ricard,FR,Consumer,Consumer,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
VIV.PA,Vivendi,Vivendi,FR,Consumer,Consumer,false,unresolved,seed_candidate;country=France;verify_with_toss_stock_info_before_live;country_market=FR;research_only;current_toss_live_support=KR_US_only
SAP.DE,SAP,SAP,DE,Technology,AI,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
SIE.DE,Siemens,Siemens,DE,Industrial Automation,Robotics,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
ENR.DE,Siemens Energy,Siemens Energy,DE,Energy,Energy,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
IFX.DE,Infineon Technologies,Infineon Technologies,DE,Semiconductor,Semiconductor,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
RHM.DE,Rheinmetall,Rheinmetall,DE,Defense,Defense,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
HAG.DE,Hensoldt,Hensoldt,DE,Defense,Defense,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
AIR.DE,Airbus,Airbus,DE,Aerospace,Aerospace,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
MBG.DE,Mercedes-Benz Group,Mercedes-Benz Group,DE,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
BMW.DE,BMW,BMW,DE,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
VOW3.DE,Volkswagen,Volkswagen,DE,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
P911.DE,Porsche AG,Porsche AG,DE,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
PAH3.DE,Porsche Automobil Holding,Porsche Automobil Holding,DE,Automotive,Autonomous Driving,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
BAS.DE,BASF,BASF,DE,Resources,Resources,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
BAYN.DE,Bayer,Bayer,DE,Healthcare,Healthcare,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
MRK.DE,Merck KGaA,Merck KGaA,DE,Healthcare,Biotech,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
SHL.DE,Siemens Healthineers,Siemens Healthineers,DE,Healthcare,Healthcare,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
QIA.DE,Qiagen,Qiagen,DE,Healthcare,Biotech,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
FME.DE,Fresenius Medical Care,Fresenius Medical Care,DE,Healthcare,Healthcare,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
DTE.DE,Deutsche Telekom,Deutsche Telekom,DE,Telecommunication,Telecom,false,unresolved,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live;country_market=DE;research_only;current_toss_live_support=KR_US_only
